,elapse_time
0,0.06963419914245605
1,0.06839346885681152
2,0.06959033012390137
3,0.06862306594848633
4,0.06863117218017578
5,0.07004523277282715
6,0.06775259971618652
7,0.0641164779663086
8,0.06499958038330078
9,0.06752443313598633
10,0.06252026557922363
11,0.06296873092651367
12,0.07655644416809082
13,0.0655524730682373
14,0.06264853477478027
15,0.06654930114746094
16,0.06758713722229004
17,0.0720362663269043
18,0.07854700088500977
19,0.06290507316589355
20,0.06802821159362793
21,0.06309103965759277
22,0.06164693832397461
23,0.06626677513122559
24,0.06461191177368164
25,0.0686342716217041
26,0.0658102035522461
27,0.06555509567260742
28,0.06763005256652832
29,0.06466197967529297
30,0.06562137603759766
31,0.07162666320800781
32,0.06503939628601074
33,0.06257748603820801
34,0.06458663940429688
35,0.06403589248657227
36,0.06789946556091309
37,0.06665921211242676
38,0.07299971580505371
39,0.06861329078674316
40,0.07263946533203125
41,0.06503438949584961
42,0.06458044052124023
43,0.06575942039489746
44,0.06503009796142578
45,0.0675508975982666
46,0.06765580177307129
47,0.07025742530822754
48,0.07158279418945312
49,0.07259321212768555
50,0.08304905891418457
51,0.06600666046142578
52,0.07860994338989258
53,0.06962442398071289
54,0.06702041625976562
55,0.06619596481323242
56,0.06262564659118652
57,0.07105183601379395
58,0.07222437858581543
59,0.06754350662231445
60,0.06642985343933105
61,0.06600189208984375
62,0.06658220291137695
63,0.06602668762207031
64,0.06498956680297852
65,0.06263327598571777
66,0.06355023384094238
67,0.0645596981048584
68,0.06861639022827148
69,0.06602978706359863
70,0.0675814151763916
71,0.06748771667480469
72,0.06703782081604004
73,0.06513309478759766
74,0.06518125534057617
75,0.0680382251739502
76,0.06654667854309082
77,0.0635836124420166
78,0.07059931755065918
79,0.06557679176330566
80,0.06662821769714355
81,0.06704235076904297
82,0.08760476112365723
83,0.06659531593322754
84,0.06465315818786621
85,0.06365275382995605
86,0.06655764579772949
87,0.06895637512207031
88,0.06339097023010254
89,0.06362390518188477
90,0.06448578834533691
91,0.06355547904968262
92,0.06665658950805664
93,0.06702089309692383
94,0.06620097160339355
95,0.06410074234008789
96,0.06607818603515625
97,0.06616091728210449
98,0.06648063659667969
99,0.07158231735229492
