,elapse_time
0,13.469706058502197
1,13.57338833808899
2,13.59909701347351
3,13.730559349060059
4,13.510193109512329
5,13.496668100357056
6,13.485849618911743
7,14.016380071640015
8,14.523619651794434
9,13.491514444351196
10,13.521735429763794
11,13.467625856399536
12,13.469749450683594
13,13.481881380081177
14,13.418909311294556
15,13.47420334815979
16,13.47092580795288
17,14.136301040649414
18,14.915003776550293
19,15.07452130317688
20,13.654927968978882
21,13.748031616210938
22,13.586634635925293
23,13.497057914733887
24,13.544446468353271
25,14.525618553161621
26,14.232123374938965
27,14.585845232009888
28,14.382095098495483
29,13.770312309265137
30,13.6595618724823
31,13.652530193328857
32,13.707736015319824
33,13.633660554885864
34,13.658578634262085
35,13.61287546157837
36,13.639651536941528
37,13.620689153671265
38,13.68600869178772
39,13.641743183135986
40,13.672743082046509
41,13.699559926986694
42,13.610731363296509
43,13.554381370544434
44,13.634770393371582
45,13.575274467468262
46,13.59941577911377
47,13.899160623550415
48,13.636956453323364
49,13.580325841903687
50,13.660227298736572
51,13.758814096450806
52,13.632052659988403
53,13.604521989822388
54,13.581537961959839
55,13.619723796844482
56,13.58185362815857
57,13.573621988296509
58,13.594573736190796
59,13.608843803405762
60,13.573479890823364
61,13.652488470077515
62,13.586737394332886
63,13.678379774093628
64,13.601300954818726
65,13.614546060562134
66,13.643801927566528
67,13.597086668014526
68,13.697044372558594
69,13.629186153411865
70,13.654573678970337
71,13.595055103302002
72,13.644897937774658
73,13.646669626235962
74,13.617472410202026
75,13.595721960067749
76,13.598628759384155
77,13.660400867462158
78,13.695944786071777
79,13.627089023590088
80,13.636022090911865
81,13.596461296081543
82,13.681991577148438
83,13.596854209899902
84,13.778326034545898
85,13.777589082717896
86,13.622214555740356
87,13.662700176239014
88,13.618716716766357
89,13.601907730102539
90,13.67121958732605
91,13.830094337463379
92,13.671015977859497
93,13.563039541244507
94,13.617658376693726
95,13.58424186706543
96,13.601108312606812
97,13.583853721618652
98,13.618669509887695
99,13.63819932937622
