,elapse_time
0,0.0009992122650146484
1,0.0009670257568359375
2,0.0010340213775634766
3,0.00099945068359375
4,0.0009999275207519531
5,0.002001047134399414
6,0.0009992122650146484
7,0.001001596450805664
8,0.001964569091796875
9,0.0010342597961425781
10,0.0010023117065429688
11,0.001997709274291992
12,0.0009999275207519531
13,0.0019655227661132812
14,0.0010004043579101562
15,0.001031637191772461
16,0.002004861831665039
17,0.000997781753540039
18,0.0009839534759521484
19,0.0019817352294921875
20,0.0010311603546142578
21,0.0010085105895996094
22,0.001994609832763672
23,0.0009999275207519531
24,0.0019659996032714844
25,0.0009987354278564453
26,0.001001119613647461
27,0.002000093460083008
28,0.0010364055633544922
29,0.0019631385803222656
30,0.0010361671447753906
31,0.0009989738464355469
32,0.002004861831665039
33,0.0010018348693847656
34,0.0009791851043701172
35,0.0020134449005126953
36,0.0009665489196777344
37,0.002022981643676758
38,0.0009992122650146484
39,0.0009775161743164062
40,0.002054452896118164
41,0.0010004043579101562
42,0.0010025501251220703
43,0.001996755599975586
44,0.0009758472442626953
45,0.002035856246948242
46,0.00099945068359375
47,0.0009632110595703125
48,0.0020363330841064453
49,0.0009999275207519531
50,0.001001596450805664
51,0.0015397071838378906
52,0.002040386199951172
53,0.0010004043579101562
54,0.0009999275207519531
55,0.0020055770874023438
56,0.0009965896606445312
57,0.0009980201721191406
58,0.0019659996032714844
59,0.0009999275207519531
60,0.0020339488983154297
61,0.0010030269622802734
62,0.0009970664978027344
63,0.002000093460083008
64,0.0009684562683105469
65,0.001035451889038086
66,0.0019936561584472656
67,0.0010023117065429688
68,0.002000570297241211
69,0.0010645389556884766
70,0.0015139579772949219
71,0.0010313987731933594
72,0.0010046958923339844
73,0.0010020732879638672
74,0.0009996891021728516
75,0.001998424530029297
76,0.0009970664978027344
77,0.0010027885437011719
78,0.0019998550415039062
79,0.0010149478912353516
80,0.0009846687316894531
81,0.0019643306732177734
82,0.0010361671447753906
83,0.001992940902709961
84,0.001012563705444336
85,0.0009605884552001953
86,0.0020356178283691406
87,0.0009999275207519531
88,0.00099945068359375
89,0.0020074844360351562
90,0.0009870529174804688
91,0.0010042190551757812
92,0.002002239227294922
93,0.0009639263153076172
94,0.002051830291748047
95,0.000982522964477539
96,0.001001119613647461
97,0.000997304916381836
98,0.0019998550415039062
99,0.0010025501251220703
